City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Ambon,ID,78.94,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
3,Puerto Ayora,EC,70.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
4,Rikitea,PF,74.8,overcast clouds,-23.1203,-134.9692,People ThankYou
6,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
8,Bowen,AU,77.5,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
10,Tual,ID,82.58,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
17,Wanning,CN,79.05,overcast clouds,18.8003,110.3967,Paradise Hotel
22,Faanui,PF,79.66,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
26,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
27,Kieta,PG,83.88,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
32,Hithadhoo,MV,82.62,overcast clouds,-0.6,73.0833,Scoop Guest House
35,Butaritari,KI,81.68,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
49,Kapaa,US,84.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
54,Gotsu,JP,74.82,few clouds,35.0,132.2167,Yurusato
58,Progreso,MX,84.31,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
61,Port Blair,IN,80.76,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
62,Avarua,CK,77.05,overcast clouds,-21.2078,-159.775,Paradise Inn
63,Victoria,HK,82.33,overcast clouds,22.2855,114.1577,Mini Hotel Central
76,Lucapa,AO,74.12,overcast clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
77,Porto Novo,BJ,78.17,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
81,Atuona,PF,78.44,scattered clouds,-9.8,-139.0333,Villa Enata
83,Edmond,US,82.69,broken clouds,35.6528,-97.4781,Hampton Inn Oklahoma City/Edmond
84,Sokoni,TZ,77.32,scattered clouds,-6.4333,39.55,Ujamaa Beach Resort
90,Bonawon,PH,80.64,overcast clouds,9.134,122.9193,Bonawon
