City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ambon,ID,-3.6954,128.1814,78.94,89,20,4.61,few clouds
1,Komsomolskiy,UZ,40.4272,71.7189,44.02,69,15,1.3,few clouds
2,Bredasdorp,ZA,-34.5322,20.0403,59.29,80,82,2.91,broken clouds
3,Puerto Ayora,EC,-0.7393,-90.3518,70.56,87,60,5.01,broken clouds
4,Rikitea,PF,-23.1203,-134.9692,74.8,80,98,18.25,overcast clouds
5,Cheremukhovo,RU,60.3484,59.9851,28.36,64,100,3.78,overcast clouds
6,Georgetown,MY,5.4112,100.3354,78.89,86,20,3.44,few clouds
7,Ushuaia,AR,-54.8,-68.3,46.06,61,75,25.32,light intensity drizzle
8,Bowen,AU,-20.0167,148.2333,77.5,57,9,8.88,clear sky
9,Punta Arenas,CL,-53.15,-70.9167,48.31,46,20,33.38,few clouds
10,Tual,ID,-5.6667,132.75,82.58,74,100,1.63,overcast clouds
11,Bluff,NZ,-46.6,168.3333,47.8,90,100,8.1,light rain
12,Tasiilaq,GL,65.6145,-37.6368,33.96,54,3,2.95,clear sky
13,Port Alfred,ZA,-33.5906,26.891,59.22,72,22,22.21,few clouds
14,Portland,US,45.5234,-122.6762,61.52,62,40,1.01,scattered clouds
15,Mar Del Plata,AR,-38.0023,-57.5575,58.08,58,0,8.99,clear sky
16,Yei,SS,4.095,30.6779,67.68,94,91,4.29,light rain
17,Wanning,CN,18.8003,110.3967,79.05,88,97,3.33,overcast clouds
18,Kaitong,CN,44.8135,123.15,43.34,52,0,7.47,clear sky
19,Aksu,CN,41.1231,80.2644,49.15,32,100,2.46,overcast clouds
20,Kahului,US,20.8947,-156.47,85.26,72,40,34.52,scattered clouds
21,Port Elizabeth,ZA,-33.918,25.5701,56.82,74,44,12.8,scattered clouds
22,Faanui,PF,-16.4833,-151.75,79.66,74,48,12.19,light rain
23,Busselton,AU,-33.65,115.3333,59.04,80,97,16.46,overcast clouds
24,Riachao,BR,-7.3619,-46.6172,85.55,35,90,4.09,overcast clouds
25,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,37.99,100,90,17.9,light intensity shower rain
26,Vaini,TO,-21.2,-175.2,78.96,83,75,6.91,broken clouds
27,Kieta,PG,-6.2167,155.6333,83.88,69,85,5.91,overcast clouds
28,Phalaborwa,ZA,-23.943,31.1411,59.99,74,64,13.33,broken clouds
29,Mataura,NZ,-46.1927,168.8643,47.48,94,100,3.36,light rain
30,Hofn,IS,64.2539,-15.2082,41.22,63,40,11.21,scattered clouds
31,Zheleznodorozhnyy,RU,55.7503,38.0042,43.21,66,19,4.21,few clouds
32,Hithadhoo,MV,-0.6,73.0833,82.62,68,99,14.43,overcast clouds
33,Narsaq,GL,60.9167,-46.05,32.22,45,20,3.8,few clouds
34,Pangnirtung,CA,66.1451,-65.7125,26.6,100,75,5.75,fog
35,Butaritari,KI,3.0707,172.7902,81.68,66,35,8.66,scattered clouds
36,Kanel,SN,15.4916,-13.1763,92.55,33,83,8.57,broken clouds
37,Kjollefjord,NO,70.9457,27.3465,44.37,89,100,7.74,overcast clouds
38,Constitucion,CL,-35.3333,-72.4167,55.53,78,0,13.18,clear sky
39,Aklavik,CA,68.2191,-135.0107,29.17,77,100,7.4,overcast clouds
40,Port Lincoln,AU,-34.7333,135.8667,54.77,53,5,12.73,clear sky
41,Camapua,BR,-19.5314,-54.0439,68.09,87,100,8.81,overcast clouds
42,Pingliang,CN,35.5392,106.6861,38.23,94,96,4.21,overcast clouds
43,Esperance,AU,-33.8667,121.9,61.02,41,100,21.32,overcast clouds
44,Jamestown,US,42.097,-79.2353,67.59,82,1,5.01,clear sky
45,Saskylakh,RU,71.9167,114.0833,21.85,96,100,8.1,overcast clouds
46,Yulara,AU,-25.2406,130.9889,58.08,45,2,17.9,clear sky
47,Dikson,RU,73.5069,80.5464,29.68,66,100,21.41,light snow
48,Barrow,US,71.2906,-156.7887,26.62,80,75,9.22,mist
49,Kapaa,US,22.0752,-159.319,84.18,71,1,5.99,light rain
50,Cidreira,BR,-30.1811,-50.2056,65.08,79,100,19.82,overcast clouds
51,Longyearbyen,SJ,78.2186,15.6401,28.24,74,75,9.22,broken clouds
52,Port Augusta,AU,-32.5,137.7667,55.71,44,0,8.23,clear sky
53,Khor,RU,47.8861,134.9464,44.44,71,88,18.16,overcast clouds
54,Gotsu,JP,35.0,132.2167,74.82,77,22,5.3,few clouds
55,Thinadhoo,MV,0.5333,72.9333,83.07,67,97,14.85,overcast clouds
56,Mikkeli,FI,61.6886,27.2723,48.31,87,20,6.91,few clouds
57,Lebu,CL,-37.6167,-73.65,51.64,86,9,12.8,clear sky
58,Progreso,MX,21.2833,-89.6667,84.31,74,38,11.81,scattered clouds
59,Hay River,CA,60.8156,-115.7999,39.69,67,89,14.45,overcast clouds
60,Hukuntsi,BW,-24.0,21.75,65.46,16,0,12.5,clear sky
61,Port Blair,IN,11.6667,92.75,80.76,84,100,16.84,overcast clouds
62,Avarua,CK,-21.2078,-159.775,77.05,73,100,10.36,overcast clouds
63,Victoria,HK,22.2855,114.1577,82.33,82,92,4.0,overcast clouds
64,Provideniya,RU,64.3833,-173.3,33.91,75,90,8.95,overcast clouds
65,East London,ZA,-33.0153,27.9116,59.68,68,14,18.19,few clouds
66,Albany,US,42.6001,-73.9662,63.25,84,87,1.01,overcast clouds
67,Zalantun,CN,48.0,122.7167,44.17,59,3,10.25,clear sky
68,Khatanga,RU,71.9667,102.5,16.29,96,100,5.32,light snow
69,Bizhbulyak,RU,53.6967,54.2642,42.48,82,100,4.7,overcast clouds
70,Turukhansk,RU,65.8167,87.9833,25.7,76,100,10.78,overcast clouds
71,Suez,EG,29.9737,32.5263,69.6,78,0,11.12,clear sky
72,Taltal,CL,-25.4,-70.4833,64.44,55,8,4.54,clear sky
73,Tautira,PF,-17.7333,-149.15,86.02,76,79,9.1,broken clouds
74,Champerico,GT,14.3,-91.9167,87.94,78,100,9.19,overcast clouds
75,Bethel,US,41.3712,-73.414,63.19,89,90,1.99,overcast clouds
76,Lucapa,AO,-8.4192,20.7447,74.12,52,95,2.39,overcast clouds
77,Porto Novo,BJ,6.4965,2.6036,78.17,85,91,5.21,light rain
78,Huarmey,PE,-10.0681,-78.1522,65.08,86,56,8.41,broken clouds
79,Talnakh,RU,69.4865,88.3972,23.49,96,96,6.8,snow
80,Okha,RU,53.5739,142.9478,47.28,94,100,33.04,moderate rain
81,Atuona,PF,-9.8,-139.0333,78.44,75,31,18.68,scattered clouds
82,Hobart,AU,-42.8794,147.3294,52.02,54,40,7.0,scattered clouds
83,Edmond,US,35.6528,-97.4781,82.69,64,54,1.01,broken clouds
84,Sokoni,TZ,-6.4333,39.55,77.32,81,44,13.33,scattered clouds
85,Geraldton,AU,-28.7667,114.6,50.41,93,61,8.05,broken clouds
86,Ribeira Grande,PT,38.5167,-28.7,69.51,91,100,26.53,overcast clouds
87,Sisimiut,GL,66.9395,-53.6735,33.76,79,98,5.57,overcast clouds
88,Ust-Kulom,RU,61.6864,53.6902,38.79,98,100,7.36,overcast clouds
89,Cherskiy,RU,68.75,161.3,7.68,93,77,5.26,broken clouds
90,Bonawon,PH,9.134,122.9193,80.64,87,100,17.13,overcast clouds
91,Kavieng,PG,-2.5744,150.7967,83.46,71,58,7.09,broken clouds
92,Sitka,US,57.0531,-135.33,49.89,76,40,5.75,light rain
93,Yellowknife,CA,62.456,-114.3525,36.41,100,100,8.01,light rain
94,Sijunjung,ID,-0.6876,100.9537,72.52,98,96,2.01,overcast clouds
95,Clyde River,CA,70.4692,-68.5914,32.65,77,100,2.86,overcast clouds
96,Ahipara,NZ,-35.1667,173.1667,60.62,63,89,9.73,overcast clouds
97,Cape Town,ZA,-33.9258,18.4232,63.12,85,97,5.35,overcast clouds
98,Puri,IN,19.8,85.85,81.12,80,51,8.25,broken clouds
99,Hermanus,ZA,-34.4187,19.2345,62.91,64,98,8.21,overcast clouds
100,Kununurra,AU,-15.7667,128.7333,82.38,69,97,6.91,overcast clouds
101,Leshukonskoye,RU,64.8989,45.7622,48.06,97,100,8.68,light rain
102,Katsuura,JP,35.1333,140.3,78.19,71,58,14.36,broken clouds
103,Coahuayana,MX,18.7333,-103.6833,92.68,75,98,4.12,overcast clouds
104,Opuwo,NA,-18.0607,13.84,75.6,16,0,2.48,clear sky
105,Reynoldsburg,US,39.9548,-82.8121,78.93,69,20,1.01,few clouds
106,Severo-Kurilsk,RU,50.6789,156.125,49.19,94,100,20.92,moderate rain
107,Joao Pinheiro,BR,-17.7425,-46.1725,72.1,75,100,6.62,overcast clouds
108,Dunedin,NZ,-45.8742,170.5036,58.8,70,100,3.0,overcast clouds
109,Bengkulu,ID,-3.8004,102.2655,75.2,90,91,4.47,overcast clouds
110,Kaduy,RU,59.2,37.15,41.14,83,30,6.49,scattered clouds
111,Kiama,AU,-34.6833,150.8667,57.25,74,100,8.99,overcast clouds
112,Guerrero Negro,MX,27.9769,-114.0611,76.78,54,0,14.83,clear sky
113,West Wendover,US,40.7391,-114.0733,61.81,25,1,8.05,clear sky
114,Kruisfontein,ZA,-34.0033,24.7314,51.73,77,30,6.13,scattered clouds
115,Lorengau,PG,-2.0226,147.2712,84.43,68,83,2.93,broken clouds
116,Iqaluit,CA,63.7506,-68.5145,34.7,82,48,1.99,scattered clouds
117,Dudinka,RU,69.4058,86.1778,22.39,91,100,7.07,overcast clouds
118,Rawson,AR,-43.3002,-65.1023,67.08,41,22,7.34,few clouds
119,Flin Flon,CA,54.7682,-101.865,59.85,48,100,7.47,overcast clouds
120,Chifeng,CN,42.2683,118.9636,41.13,45,0,6.04,clear sky
121,Katobu,ID,-4.9408,122.5276,79.05,80,100,0.34,overcast clouds
122,Tuktoyaktuk,CA,69.4541,-133.0374,30.25,74,99,6.67,overcast clouds
123,Yerbogachen,RU,61.2767,108.0108,30.38,92,100,9.82,light snow
124,Olafsvik,IS,64.8945,-23.7142,40.26,60,18,1.14,few clouds
125,Lagoa,PT,39.05,-27.9833,70.41,88,100,21.47,overcast clouds
126,Gat,IL,31.61,34.7642,71.4,66,0,4.72,clear sky
127,Arlit,NE,18.7369,7.3853,84.78,10,29,8.88,scattered clouds
128,Upernavik,GL,72.7868,-56.1549,33.13,98,100,10.76,snow
129,Tilichiki,RU,60.4667,166.1,29.7,65,55,3.6,broken clouds
130,Springbok,ZA,-29.6643,17.8865,65.89,12,6,10.87,clear sky
131,Selenginsk,RU,52.0064,106.8647,21.61,64,0,5.53,clear sky
132,Ningyang,CN,35.7642,116.7914,50.34,62,77,5.91,broken clouds
133,Luderitz,NA,-26.6481,15.1594,71.2,36,6,4.83,clear sky
134,Troitsko-Pechorsk,RU,62.7084,56.1964,31.84,97,100,9.64,snow
135,Naze,JP,28.3667,129.4833,77.63,86,64,16.64,broken clouds
136,Codrington,AU,-38.2667,141.9667,51.67,61,83,9.51,broken clouds
137,Nouadhibou,MR,20.931,-17.0347,69.03,84,0,21.74,clear sky
138,Lalmohan,BD,22.3384,90.7419,81.18,81,53,7.18,broken clouds
139,Kilis,TR,36.7161,37.115,57.43,28,1,3.98,clear sky
140,Ongandjera,NA,-17.8833,15.0667,79.0,10,0,15.01,clear sky
141,Qaanaaq,GL,77.484,-69.3632,29.73,87,100,8.1,overcast clouds
142,Chokurdakh,RU,70.6333,147.9167,19.02,88,100,5.39,overcast clouds
143,Shimoda,JP,34.6667,138.95,76.1,75,11,9.01,few clouds
144,Bhitarwar,IN,25.8,78.1167,76.32,49,4,3.89,clear sky
145,Nanchital,MX,18.0667,-94.4,89.62,74,20,11.5,few clouds
146,Tarko-Sale,RU,64.9225,77.785,27.03,80,18,10.02,few clouds
147,Semnan,IR,35.5729,53.3971,52.72,49,0,1.48,clear sky
148,Hasaki,JP,35.7333,140.8333,72.28,68,40,13.27,scattered clouds
149,Alofi,NU,-19.0595,-169.9187,77.34,79,100,4.54,overcast clouds
150,Ilulissat,GL,69.2167,-51.1,30.22,93,75,1.14,broken clouds
151,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,84,0,9.22,clear sky
152,Vilhena,BR,-12.7406,-60.1458,79.45,49,23,4.43,few clouds
153,Shingu,JP,33.7333,135.9833,76.19,83,3,2.06,clear sky
154,Camocim,BR,-2.9022,-40.8411,79.63,77,8,16.42,clear sky
155,Terney,RU,45.0503,136.6092,50.32,61,60,11.61,broken clouds
156,Udayagiri,IN,20.1333,84.3833,66.18,73,19,3.67,few clouds
157,Saint-Philippe,RE,-21.3585,55.7679,72.95,89,6,6.22,clear sky
158,Manzanillo,CU,20.3433,-77.1167,81.0,74,38,7.2,scattered clouds
159,Monywa,MM,22.1167,95.1333,79.9,85,36,4.23,scattered clouds
160,Ullapool,GB,57.8987,-5.1604,51.94,87,100,11.41,overcast clouds
161,Kenai,US,60.5544,-151.2583,48.02,72,1,13.8,clear sky
162,Havoysund,NO,70.9963,24.6622,43.68,87,100,9.78,overcast clouds
163,New Norfolk,AU,-42.7826,147.0587,51.66,52,83,1.99,broken clouds
164,Srandakan,ID,-7.9386,110.2506,77.0,82,93,6.98,overcast clouds
